tid,car_id,track_start,track_end,start_lat,start_lon,end_lat,end_lon
433843,222,2014-06-10 23:31:05,2014-06-11 00:08:18,51.02894592,13.84638882,51.02833176,13.84911156
4325,129,2014-06-10 23:47:09,2014-06-11 00:00:22,51.06611252,13.74627781,50.99780655,13.79058361
114706,218,2014-06-10 23:48:23,2014-06-11 00:07:03,51.0633049,13.74866676,50.998806,13.85611153
175964,135,2014-06-10 23:49:09,2014-06-11 00:03:37,51.05780411,13.77733326,51.03505707,13.69922256
542186,3,2014-06-10 23:53:26,2014-06-11 00:04:01,51.07033157,13.74144459,51.04777908,13.77680588
198494,357,2014-06-10 23:54:29,2014-06-11 00:08:04,51.03530502,13.74450016,51.01269531,13.82408333
233021,76,2014-06-10 23:54:46,2014-06-11 00:07:04,51.06541824,13.74136162,51.04936218,13.78911114
368825,190,2014-06-10 23:55:32,2014-06-11 00:11:12,51.04933167,13.73699951,50.99747086,13.84744453
480753,13,2014-06-10 23:56:29,2014-06-11 00:08:32,51.03844452,13.73463917,51.00722122,13.82869434
634510,232,2014-06-10 23:56:49,2014-06-11 00:03:22,51.04719543,13.73355579,51.02977753,13.75516701
588617,52,2014-06-10 23:57:14,2014-06-11 00:00:21,51.04691696,13.73358345,51.03138733,13.75308323
639699,113,2014-06-10 23:57:42,2014-06-11 00:01:22,51.04041672,13.73372269,51.02841568,13.7454443
218554,50,2014-06-10 23:58:07,2014-06-11 00:01:49,51.04986191,13.74086094,51.04255676,13.73525047
584355,35,2014-06-10 23:59:11,2014-06-11 00:01:45,51.06936264,13.756917,51.07366562,13.74738884
119858,349,2014-06-11 00:01:25,2014-06-11 00:07:47,51.04691696,13.73400021,51.04838943,13.6922226
184100,132,2014-06-11 00:02:06,2014-06-11 00:08:26,51.06549835,13.74158287,51.05952835,13.69936085
556272,396,2014-06-11 00:04:55,2014-06-11 00:07:15,51.04302597,13.79552746,51.04544449,13.77277756
544187,201,2014-06-11 00:05:28,2014-06-11 00:19:50,51.04875183,13.74655533,51.00849915,13.83380508
173054,194,2014-06-11 00:06:17,2014-06-11 00:13:05,51.04316711,13.69480515,51.05805588,13.65341663
588618,52,2014-06-11 00:06:18,2014-06-11 00:14:52,51.02700043,13.76394463,51.02783203,13.82677746
576801,108,2014-06-11 00:09:38,2014-06-11 00:12:51,51.04880524,13.74338913,51.03252792,13.74836159
15373,8,2014-06-11 00:09:45,2014-06-11 00:20:16,51.04647064,13.66422176,51.04241562,13.69963932
533548,298,2014-06-11 00:12:13,2014-06-11 00:25:39,51.0391655,13.78552818,51.01599884,13.78674984
313477,163,2014-06-11 00:12:42,2014-06-11 00:22:34,51.07508469,13.74686146,51.09897232,13.71422195
28494,276,2014-06-11 00:14:14,2014-06-11 00:18:31,50.99033356,13.8117218,50.98730469,13.80719471
628967,331,2014-06-11 00:16:44,2014-06-11 00:24:56,51.06650162,13.68952751,51.07427597,13.73872185
100344,213,2014-06-11 00:21:18,2014-06-11 00:27:20,51.05544281,13.68997192,51.05661011,13.71447182
506261,21,2014-06-11 00:22:37,2014-06-11 00:32:10,51.06414032,13.82011127,51.0577774,13.74613857
667752,128,2014-06-11 00:22:55,2014-06-11 00:28:24,51.04944611,13.74341679,51.02541733,13.75677776
465447,364,2014-06-11 00:24:41,2014-06-11 00:34:53,51.05872345,13.76366711,51.0399437,13.78822231
265380,59,2014-06-11 00:24:55,2014-06-11 00:31:50,51.0830574,13.68875027,51.05094528,13.66186142
584356,35,2014-06-11 00:27:10,2014-06-11 00:32:57,51.06338882,13.74588871,51.033638,13.74919415
552799,388,2014-06-11 00:27:12,2014-06-11 00:38:53,51.06414032,13.79838848,51.04552841,13.78894424
128256,27,2014-06-11 00:30:21,2014-06-11 00:32:30,51.04594421,13.69616699,51.04241562,13.68497181
114707,218,2014-06-11 00:31:31,2014-06-11 00:43:21,51.05608368,13.77752781,51.02527618,13.7051115
162905,295,2014-06-11 00:37:00,2014-06-11 00:42:09,51.06630707,13.77655602,51.05241776,13.79158306
140285,149,2014-06-11 00:39:37,2014-06-11 00:47:43,51.04024887,13.73372269,51.06536102,13.75936127
128257,27,2014-06-11 00:40:28,2014-06-11 00:44:55,51.03974915,13.73105526,51.04794312,13.72177792
146178,307,2014-06-11 00:41:38,2014-06-11 00:46:59,51.04213715,13.73611069,51.07083511,13.75005531
198495,357,2014-06-11 00:43:44,2014-06-11 00:58:05,51.04405594,13.73849964,51.12466812,13.76811123
542187,3,2014-06-11 00:49:25,2014-06-11 00:53:57,51.04727936,13.76522255,51.06261063,13.75191689
4326,129,2014-06-11 00:49:53,2014-06-11 01:10:37,51.05155563,13.74502754,51.04880524,13.78355598
173055,194,2014-06-11 00:50:15,2014-06-11 00:56:35,51.05980682,13.65708351,51.04241562,13.68352795
128258,27,2014-06-11 00:50:34,2014-06-11 00:58:24,51.04041672,13.733778,51.05794525,13.77363873
588619,52,2014-06-11 00:50:54,2014-06-11 00:55:55,51.06200027,13.83019447,51.04611206,13.86513901
634511,232,2014-06-11 00:52:06,2014-06-11 00:59:13,51.05014038,13.73713875,51.05888748,13.76619434
218555,50,2014-06-11 00:52:43,2014-06-11 00:56:08,51.0407486,13.72027779,51.05516815,13.72363853
140286,149,2014-06-11 00:55:09,2014-06-11 00:59:53,51.06636047,13.75419426,51.07766724,13.72327805
151067,335,2014-06-11 00:55:27,2014-06-11 01:05:00,51.04800034,13.73672199,51.05838776,13.79061127
433844,222,2014-06-11 00:55:42,2014-06-11 01:01:01,51.04947281,13.74355507,51.03172302,13.79119492
128259,27,2014-06-11 00:59:43,2014-06-11 01:02:14,51.05810928,13.77733326,51.04689026,13.77902794
292408,394,2014-06-11 00:59:43,2014-06-11 01:06:47,51.08116531,13.73288918,51.12905502,13.71802807
128260,27,2014-06-11 01:07:39,2014-06-11 01:11:56,51.04566574,13.75597191,51.04241562,13.79508305
667753,128,2014-06-11 01:11:37,2014-06-11 01:25:17,51.06352615,13.74838924,51.02466583,13.79611111
546927,61,2014-06-11 01:11:58,2014-06-11 01:24:06,51.07955551,13.71461105,51.0593605,13.67905521
552800,388,2014-06-11 01:12:17,2014-06-11 01:26:05,51.06358337,13.74772263,50.99386215,13.71761131
542188,3,2014-06-11 01:12:30,2014-06-11 01:14:24,51.06313705,13.73663902,51.0565567,13.72238922
50408,384,2014-06-11 01:15:04,2014-06-11 01:21:03,51.04441833,13.79988861,51.04052734,13.80313873
140287,149,2014-06-11 01:18:53,2014-06-11 01:22:06,51.06830597,13.74555588,51.07802963,13.74869442
114708,218,2014-06-11 01:21:54,2014-06-11 01:33:17,51.06952667,13.74902821,51.03869629,13.80944443
173056,194,2014-06-11 01:23:53,2014-06-11 01:46:32,51.04855728,13.65649986,51.02685928,13.83769417
265381,59,2014-06-11 01:29:02,2014-06-11 01:35:50,51.08177948,13.69369411,51.07613754,13.74552822
140288,149,2014-06-11 01:35:53,2014-06-11 01:40:48,51.07136154,13.75033379,51.05869293,13.72805595
634512,232,2014-06-11 01:39:36,2014-06-11 01:51:40,51.05494308,13.78119469,50.99677658,13.7897501
64161,122,2014-06-11 01:44:28,2014-06-11 01:48:23,51.09047318,13.72311115,51.07936096,13.71455574
265382,59,2014-06-11 01:46:53,2014-06-11 02:10:02,51.08766556,13.68005562,51.16350174,13.58766651
151068,335,2014-06-11 01:50:23,2014-06-11 02:04:25,51.06280518,13.76211071,51.0633049,13.60697174
213620,160,2014-06-11 01:51:26,2014-06-11 01:59:49,51.01774979,13.78372192,51.05052948,13.76347256
162906,295,2014-06-11 01:52:52,2014-06-11 01:53:14,51.04058456,13.73405552,51.03963852,13.73363876
4327,129,2014-06-11 01:54:53,2014-06-11 01:56:43,51.06336212,13.74575043,51.05227661,13.74736118
639700,113,2014-06-11 01:58:32,2014-06-11 02:05:05,51.05963898,13.73883343,51.04441833,13.77330589
440730,92,2014-06-11 01:59:07,2014-06-11 02:03:00,51.06547165,13.74141693,51.05522156,13.71863842
576802,108,2014-06-11 02:01:43,2014-06-11 02:07:24,51.04933167,13.74380589,51.06422043,13.75577736
433845,222,2014-06-11 02:02:21,2014-06-11 02:08:27,51.04819489,13.73719406,51.04249954,13.68458366
506262,21,2014-06-11 02:04:14,2014-06-11 02:10:10,51.05010986,13.74019432,51.06158447,13.69075012
542189,3,2014-06-11 02:07:07,2014-06-11 02:17:58,51.05233383,13.74316692,51.06077957,13.81791687
